deck_id,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8
518,Cannon,Earthquake,Hog Rider,Ice Spirit,Mighty Miner,Musketeer,Skeletons,The Log
519,Cannon,Fireball,Hog Rider,Ice Spirit,Monk,Musketeer,Skeleton Army,The Log
520,Balloon,Giant Snowball,Ice Golem,Ice Spirit,Lumberjack,Minions,Musketeer,The Log
521,Bomb Tower,Goblinstein,Magic Archer,Miner,Skeletons,The Log,Tornado,Wall Breakers
522,Arrows,Balloon,Giant Snowball,Inferno Dragon,Knight,Lava Hound,Minions,Skeleton Army
523,Arrows,Bowler,Giant,Goblin Gang,Inferno Tower,Miner,Night Witch,Zap
524,Barbarian Barrel,Electro Spirit,Fireball,Fisherman,Hunter,Monk,Royal Giant,Skeletons
525,Arrows,Balloon,Bats,Freeze,Giant,Goblin Gang,Minion Horde,Skeleton Army
526,Arrows,Bomber,Electro Spirit,Flying Machine,Goblin Cage,Musketeer,Royal Hogs,Royal Recruits
527,Archer Queen,Ice Spirit,Miner,Mini P.E.K.K.A,Minions,Mortar,Skeletons,The Log
528,Arrows,Guards,Inferno Dragon,Lava Hound,Lightning,Skeleton Dragons,Spirit Empress,Valkyrie
529,Arrows,Furnace,Guards,Lightning,Minions,Mortar,Skeleton Barrel,Skeleton King
530,Arrows,Fisherman,Goblin Cage,Guards,Inferno Dragon,Lava Hound,Lightning,Skeleton Dragons
531,Bandit,Battle Ram,Electro Wizard,Fireball,Magic Archer,P.E.K.K.A,Royal Ghost,Zap
532,Bowler,Cannon,Electro Giant,Ice Wizard,Inferno Dragon,Knight,Lightning,Tornado
533,Giant,Goblinstein,Guards,Mini P.E.K.K.A,Rage,Sparky,Vines,Wizard
534,Cannon,Earthquake,Electro Spirit,Firecracker,Goblins,Hog Rider,Mini P.E.K.K.A,The Log
535,Berserker,Bomber,Cannon,Goblin Drill,Mighty Miner,Poison,Royal Delivery,Wall Breakers
536,Dart Goblin,Goblin Barrel,Goblin Curse,Goblin Gang,Mini P.E.K.K.A,Rage,Skeleton Army,Suspicious Bush
537,Balloon,Fireball,Guards,Inferno Dragon,Lava Hound,Skeleton Dragons,Tombstone,Zap
538,Barbarians,Fireball,Inferno Dragon,Lava Hound,Miner,Skeleton Dragons,Tombstone,Zap
539,Bomb Tower,Goblin Drill,Ice Golem,Magic Archer,Skeletons,The Log,Tornado,Wall Breakers
540,Giant,Mini P.E.K.K.A,Minions,Skeleton Army,Spirit Empress,The Log,Vines,Zap
541,Goblin Curse,Mega Knight,Mini P.E.K.K.A,Minions,Musketeer,Prince,Wall Breakers,Zap
542,Archer Queen,Arrows,Bandit,Barbarians,Battle Ram,Fireball,Golden Knight,Magic Archer
543,Dark Prince,Electro Wizard,Goblin Giant,Heal Spirit,Mini P.E.K.K.A,Rage,Sparky,Zap
544,Baby Dragon,Barbarian Barrel,Goblin Cage,Golem,Ice Wizard,Lightning,Night Witch,Tornado
545,Bomb Tower,Dart Goblin,Goblin Barrel,Knight,Rocket,Skeleton Army,Skeleton Barrel,Wall Breakers
546,Archer Queen,Arrows,Bandit,Electro Wizard,Mega Knight,Prince,Wall Breakers,Zap
547,Barbarian Barrel,Boss Bandit,Executioner,Giant Snowball,Guards,Lightning,Mini P.E.K.K.A,Ram Rider
548,Knight,Magic Archer,Miner,Skeletons,Tesla,The Log,Tornado,Wall Breakers
549,Boss Bandit,Electro Wizard,Golden Knight,Heal Spirit,Lumberjack,Mother Witch,Rage,Royal Ghost
550,Bomb Tower,Knight,Magic Archer,Miner,Skeletons,The Log,Tornado,Wall Breakers
551,Battle Ram,Boss Bandit,Electro Wizard,Golden Knight,Heal Spirit,Lumberjack,Mother Witch,Rage
552,Lava Hound,Miner,Minions,Spirit Empress,Tombstone,Valkyrie,Vines,Zap
553,Electro Spirit,Giant Snowball,Goblin Demolisher,Goblin Drill,Guards,Knight,Rocket,Tesla
554,Barbarian Barrel,Cannon,Earthquake,Hog Rider,Ice Spirit,Mighty Miner,Musketeer,Skeletons
555,Earthquake,Guards,Hog Rider,Ice Spirit,Mighty Miner,Mortar,Musketeer,Royal Delivery
556,Arrows,Fisherman,Giant Skeleton,Knight,Mother Witch,Musketeer,Royal Hogs,Skeleton Army
557,Baby Dragon,Fireball,Guards,Lava Hound,Spirit Empress,Tombstone,Valkyrie,Vines
558,Arrows,Bats,Elixir Collector,Giant,Goblin Gang,Mini P.E.K.K.A,Royal Ghost,Three Musketeers
559,Barbarian Barrel,Dart Goblin,Minions,Mortar,Poison,Rascals,Skeleton Barrel,Skeletons
560,Executioner,Golden Knight,Heal Spirit,Lumberjack,Monk,Rage,Ram Rider,Zappies
561,Electro Wizard,Firecracker,Goblin Cage,Mega Knight,Royal Ghost,Royal Giant,The Log,Void
562,Barbarian Barrel,Electro Spirit,Fisherman,Hunter,Lightning,Royal Ghost,Royal Giant,Skeletons
563,Baby Dragon,Bats,Clone,Flying Machine,Lava Hound,Lumberjack,Skeleton Army,Vines
564,Bats,Fireball,Firecracker,Goblin Gang,Ice Golem,Mini P.E.K.K.A,Royal Hogs,The Log
565,Bomber,Furnace,Giant Skeleton,Goblin Curse,Knight,Royal Hogs,Skeleton Army,Skeleton Dragons
566,Barbarians,Elixir Collector,Golem,Minion Horde,Musketeer,Skeleton Army,Three Musketeers,Vines
567,Archer Queen,Barbarian Barrel,Bats,Fireball,Miner,Mini P.E.K.K.A,Mortar,Skeletons
568,Archer Queen,Electro Spirit,Elixir Collector,Fire Spirit,Giant Snowball,Mini P.E.K.K.A,Skeletons,X-Bow
569,Archer Queen,Electro Spirit,Elixir Collector,Fire Spirit,Ice Spirit,Mini P.E.K.K.A,Skeletons,X-Bow
570,Bowler,Fireball,Flying Machine,Giant,Goblin Gang,Miner,Night Witch,Zap
571,Goblin Hut,Knight,Magic Archer,Miner,Skeletons,The Log,Tornado,Wall Breakers
572,Arrows,Bowler,Flying Machine,Giant,Goblin Gang,Miner,Night Witch,Zap
573,Battle Ram,Electro Wizard,Golden Knight,Heal Spirit,Mini P.E.K.K.A,Mother Witch,Rage,Royal Ghost
574,Fireball,Giant,Heal Spirit,Mini P.E.K.K.A,Sparky,Tornado,Wizard,Zap
575,Bandit,Battle Ram,Electro Wizard,Fireball,Minions,P.E.K.K.A,Royal Ghost,Zap
576,Barbarian Barrel,Battle Ram,Electro Wizard,Golden Knight,Heal Spirit,Magic Archer,Mini P.E.K.K.A,Royal Ghost
577,Electro Spirit,Fisherman,Hunter,Lightning,Royal Ghost,Royal Giant,Skeletons,The Log
578,Giant,Golden Knight,Mini P.E.K.K.A,Mother Witch,Spirit Empress,Vines,Witch,Zap
579,Barbarian Barrel,Fireball,Goblin Gang,Ice Wizard,Mortar,Musketeer,Skeleton Barrel,Skeleton King
580,Battle Ram,Electro Wizard,Golden Knight,Heal Spirit,Magic Archer,Mini P.E.K.K.A,Royal Ghost,Zap
581,Electro Spirit,Giant Snowball,Goblin Demolisher,Guards,Mini P.E.K.K.A,Mortar,Musketeer,Poison
582,Barbarian Barrel,Cannon,Mighty Miner,Miner,Minions,Poison,Skeletons,Wall Breakers
583,Battle Ram,Electro Wizard,Fireball,Golden Knight,Minions,P.E.K.K.A,Royal Ghost,Zap
584,Baby Dragon,Barbarian Barrel,Berserker,Elixir Collector,Golem,Mini P.E.K.K.A,Vines,Witch
585,Arrows,Battle Ram,Electro Wizard,Golden Knight,Minions,P.E.K.K.A,Royal Ghost,Zap
586,Dart Goblin,Lightning,Mini P.E.K.K.A,Mother Witch,Skeleton Army,Skeleton Barrel,Skeleton King,Vines
587,Barbarian Barrel,Goblin Cage,Goblinstein,Graveyard,Guards,Ice Wizard,Knight,Poison
588,Baby Dragon,Barbarian Barrel,Graveyard,Ice Wizard,Knight,Poison,Skeletons,Tombstone
589,Archers,Arrows,Giant,Hunter,Lightning,Mini P.E.K.K.A,Royal Ghost,Sparky
590,Barbarian Barrel,Electro Dragon,Elixir Collector,Golem,Lumberjack,Mini P.E.K.K.A,Skeleton Dragons,Tornado
591,Dart Goblin,Goblin Gang,Mini P.E.K.K.A,Princess,Skeleton Army,Skeleton Barrel,Suspicious Bush,Vines
592,Dart Goblin,Goblin Barrel,Goblin Gang,Mini P.E.K.K.A,Minion Horde,Poison,Royal Recruits,The Log
593,Berserker,Dart Goblin,Goblin Barrel,Goblin Gang,Princess,The Log,Valkyrie,Wall Breakers
594,Arrows,Battle Ram,Golden Knight,Minions,Mother Witch,P.E.K.K.A,Royal Ghost,Zap
595,Arrows,Bowler,Giant,Graveyard,Guards,Musketeer,Night Witch,Zap
596,Elixir Collector,Golem,Lumberjack,Minion Horde,Minions,Skeleton Army,Three Musketeers,Zap
597,Arrows,Bandit,Battle Ram,Electro Wizard,Mini P.E.K.K.A,P.E.K.K.A,Wizard,Zap
598,Arrows,Golem,Lightning,Mini P.E.K.K.A,Night Witch,Phoenix,Valkyrie,Zap
599,Electro Spirit,Executioner,Fisherman,Goblin Cage,Knight,Lightning,Royal Giant,The Log
600,Balloon,Barbarian Barrel,Bomb Tower,Giant Snowball,Ice Golem,Mega Knight,Miner,Skeletons
601,Balloon,Barbarian Barrel,Bomb Tower,Giant Snowball,Ice Golem,Miner,Rune Giant,Skeletons
602,Arrows,Dart Goblin,Executioner,Goblin Barrel,Hog Rider,Mega Knight,Minion Horde,Skeleton Army
603,Balloon,Barbarian Barrel,Bomb Tower,Giant Snowball,Ice Golem,Miner,Skeletons,Three Musketeers
604,Barbarian Barrel,Electro Spirit,Fisherman,Guards,Hunter,Lightning,Monk,Royal Giant
605,Balloon,Barbarian Barrel,Bomb Tower,Giant Snowball,Golem,Ice Spirit,Miner,Skeletons
606,Balloon,Bowler,Electro Dragon,Freeze,Inferno Dragon,Lumberjack,Valkyrie,Zap
607,Balloon,Barbarian Barrel,Bomb Tower,Giant Snowball,Miner,Mirror,Skeletons,X-Bow
608,Balloon,Barbarian Barrel,Barbarian Hut,Freeze,Miner,Mirror,P.E.K.K.A,Skeletons
609,Fireball,Giant,Ice Spirit,Lumberjack,Mini P.E.K.K.A,The Log,Vines,Witch
610,Archer Queen,Balloon,Barbarian Barrel,Bomb Tower,Giant Snowball,Ice Golem,Miner,Skeletons
611,Boss Bandit,Fireball,Giant,Knight,Mini P.E.K.K.A,Musketeer,The Log,Witch
612,Arrows,Balloon,Bomb Tower,Giant Snowball,Miner,Mirror,Musketeer,Skeletons
613,Fireball,Hog Rider,Ice Golem,Ice Spirit,Mini P.E.K.K.A,Musketeer,Skeletons,The Log
614,Clone,Golem,Ice Spirit,Mirror,Night Witch,Skeleton Dragons,Skeletons,Tornado
615,Bomb Tower,Electro Dragon,Electro Spirit,Golden Knight,Lightning,Mega Knight,Skeletons,The Log
616,Bats,Clone,Giant Skeleton,Mirror,Skeleton Barrel,Skeleton Dragons,Skeletons,Tornado
617,Bats,Firecracker,Goblin Gang,Lightning,Mega Knight,Mini P.E.K.K.A,Skeleton Barrel,Zap
618,Earthquake,Firecracker,Hog Rider,Ice Golem,Ice Spirit,Mini P.E.K.K.A,Skeletons,The Log
619,Arrows,Electro Spirit,Flying Machine,Goblin Cage,Golden Knight,Musketeer,Royal Hogs,Royal Recruits
620,Arrows,Dart Goblin,Furnace,Mini P.E.K.K.A,Prince,Princess,Valkyrie,Zap
621,Cannon,Dart Goblin,Goblin Barrel,Ice Spirit,Princess,The Log,Valkyrie,Wall Breakers
622,Barbarian Barrel,Berserker,Furnace,Goblin Hut,Graveyard,Ice Spirit,Knight,Poison
623,Dart Goblin,Miner,Minion Horde,Skeleton Army,Skeleton Barrel,Skeleton King,The Log,Wall Breakers
624,Electro Spirit,Fireball,Fisherman,Hunter,Rage,Royal Ghost,Royal Giant,Skeletons
625,Battle Ram,Boss Bandit,Electro Wizard,Goblin Curse,Magic Archer,Mini P.E.K.K.A,P.E.K.K.A,Zap
626,Barbarian Barrel,Executioner,Giant Skeleton,Golden Knight,Royal Ghost,Royal Hogs,Tornado,Zappies
627,Barbarian Barrel,Battle Ram,Elixir Collector,Giant Snowball,Hunter,Knight,Royal Ghost,Three Musketeers
628,Barbarian Barrel,Bowler,Cannon,Earthquake,Fireball,Hog Rider,Monk,Skeleton Army
629,Dart Goblin,Electro Spirit,Fire Spirit,Goblin Barrel,Ice Spirit,Royal Recruits,The Log,Wall Breakers
630,Berserker,Bomber,Executioner,Golem,Lightning,Rocket,Sparky,Tornado
631,Bats,Dark Prince,Goblin Giant,Mini P.E.K.K.A,Mother Witch,Rage,Sparky,Vines
632,Arrows,Giant,Mini P.E.K.K.A,Minions,Musketeer,Skeleton Army,Sparky,Zap
633,Giant Snowball,Goblin Demolisher,Goblin Drill,Knight,Poison,Skeletons,Tesla,The Log
634,Bomber,Elite Barbarians,Golem,Knight,Night Witch,Phoenix,Void,Zap
635,Balloon,Fireball,Goblin Cage,Ice Golem,Inferno Dragon,Mega Minion,Miner,Zap
636,Cannon,Dart Goblin,Fire Spirit,Goblin Barrel,Ice Spirit,Rocket,Valkyrie,Wall Breakers
637,Dart Goblin,Goblin Gang,Mini P.E.K.K.A,Rascals,Skeleton Barrel,The Log,Vines,Wall Breakers
638,Dart Goblin,Electro Spirit,Fire Spirit,Mini P.E.K.K.A,Skeleton Army,Suspicious Bush,Vines,Wall Breakers
639,Barbarian Barrel,Dart Goblin,Fireball,Minions,Mortar,Skeleton Barrel,Skeletons,Valkyrie
640,Bomber,Fireball,Giant,Knight,Mega Minion,Prince,Rage,Zap
641,Bats,Goblin Gang,Inferno Dragon,Mega Knight,Miner,Skeleton Barrel,Spear Goblins,Zap
642,Archers,Barbarian Barrel,Electro Dragon,Golem,Mini P.E.K.K.A,Musketeer,Tornado,Zap
643,Arrows,Elixir Golem,Lightning,Night Witch,Rage,Skeleton King,Skeletons,Witch
644,Cannon,Goblins,Golden Knight,Ice Spirit,Miner,Rocket,Royal Delivery,The Log
645,Cannon,Electro Spirit,Firecracker,Guards,Hog Rider,Lightning,Mighty Miner,The Log
646,Berserker,Boss Bandit,Executioner,Giant Snowball,Goblin Gang,Ram Rider,Spirit Empress,Vines
647,Goblin Gang,Ice Golem,Miner,Minion Horde,Mortar,Skeleton Army,Spear Goblins,Zap
648,Bomb Tower,Fireball,Goblin Drill,Knight,Musketeer,Skeletons,The Log,Wall Breakers
649,Battle Ram,Elixir Collector,Ice Spirit,Knight,Miner,Mini P.E.K.K.A,Three Musketeers,Zap
650,Barbarian Barrel,Boss Bandit,Electro Spirit,Goblin Drill,Goblin Hut,Golden Knight,Musketeer,Poison
651,Goblin Demolisher,Goblin Drill,Goblin Hut,Knight,Magic Archer,Mini P.E.K.K.A,The Log,Tornado
652,Fire Spirit,Giant Snowball,Goblin Drill,Magic Archer,Mighty Miner,Skeletons,Tesla,The Log
653,Dark Prince,Elixir Collector,Giant,Heal Spirit,Mini P.E.K.K.A,Vines,Witch,Zap
654,Barbarian Barrel,Battle Ram,Boss Bandit,Cannon Cart,Heal Spirit,Lumberjack,Mother Witch,Royal Ghost
655,Barbarian Barrel,Goblin Hut,Miner,Minions,Poison,Skeleton Army,Skeleton King,Wall Breakers
656,Golden Knight,Miner,Mini P.E.K.K.A,Minion Horde,Mortar,Mother Witch,Skeleton Army,Vines
657,Arrows,Bowler,Giant,Giant Snowball,Graveyard,Minions,Musketeer,Skeleton Army
658,Arrows,Barbarian Barrel,Firecracker,Mega Knight,Miner,Minions,Prince,Wall Breakers
659,Berserker,Cannon,Dart Goblin,Fire Spirit,Goblin Barrel,Golden Knight,Ice Spirit,Wall Breakers
660,Bats,Goblin Gang,Ice Golem,Miner,Minion Horde,Mortar,Spear Goblins,Zap
661,Dart Goblin,Fire Spirit,Mini P.E.K.K.A,Skeleton Army,Skeleton Barrel,Skeleton King,Suspicious Bush,Vines
662,Barbarian Barrel,Battle Ram,Electro Wizard,Golden Knight,Magic Archer,Mini P.E.K.K.A,Skeletons,Zap
663,Berserker,Cannon,Dart Goblin,Royal Delivery,Suspicious Bush,The Log,Vines,Wall Breakers
664,Goblin Demolisher,Goblin Drill,Goblin Hut,Magic Archer,Skeletons,The Log,Tornado,Valkyrie
665,Barbarian Barrel,Battle Healer,Electro Dragon,Elixir Collector,Golem,Lumberjack,Musketeer,Tornado
666,Balloon,Earthquake,Electro Wizard,Executioner,Freeze,Lumberjack,P.E.K.K.A,Tornado
667,Barbarian Barrel,Cannon,Graveyard,Ice Spirit,Knight,Musketeer,Poison,Vines
668,Cannon,Dart Goblin,Electro Spirit,Goblin Barrel,Guards,Mighty Miner,The Log,Wall Breakers
669,Arrows,Dart Goblin,Golden Knight,Guards,Mighty Miner,Royal Recruits,Skeleton Barrel,Wall Breakers
670,Arrows,Balloon,Bats,Freeze,Giant Skeleton,Little Prince,Skeleton Army,Skeleton King
671,Barbarian Barrel,Battle Ram,Elixir Collector,Ice Golem,Minions,Royal Ghost,Three Musketeers,Vines
672,Electro Spirit,Firecracker,Hog Rider,Knight,Rocket,Skeletons,Tesla,The Log
673,Berserker,Cannon,Dart Goblin,Electro Spirit,Fireball,Royal Delivery,Suspicious Bush,Wall Breakers
674,Inferno Dragon,Knight,Lava Hound,Miner,Minions,Suspicious Bush,Tombstone,Zap
675,Dark Prince,Giant Snowball,Goblin Barrel,Golden Knight,Princess,Rascals,Skeletons,Wall Breakers
676,Baby Dragon,Clone,Flying Machine,Guards,Lava Hound,Lumberjack,Poison,Skeleton Army
677,Giant Snowball,Inferno Dragon,Lava Hound,Miner,Mini P.E.K.K.A,Minions,Poison,Valkyrie
678,Baby Dragon,Dark Prince,Lava Hound,Miner,Mini P.E.K.K.A,Minions,Tornado,Valkyrie
679,Arrows,Flying Machine,Goblin Cage,Knight,Lava Hound,Lightning,Skeleton Army,Skeleton Dragons
680,Bomber,Cannon,Fire Spirit,Giant Snowball,Goblin Drill,Knight,Poison,Skeletons
681,Arrows,Inferno Dragon,Lava Hound,Miner,Minion Horde,Minions,Valkyrie,Vines
682,Baby Dragon,Barbarian Barrel,Furnace,Golden Knight,Golem,Mini P.E.K.K.A,Vines,Zappies
683,Dart Goblin,Inferno Tower,Poison,Skeleton Army,Skeleton Barrel,Skeleton King,The Log,Wall Breakers
684,Executioner,Goblin Curse,Golem,Inferno Dragon,Miner,Night Witch,Skeleton King,Zap
685,Arrows,Elixir Golem,Golem,Inferno Dragon,Night Witch,Skeleton Army,Skeleton King,Vines
686,Arrows,Golden Knight,Knight,Miner,Minion Horde,Mortar,Mother Witch,Skeleton Army
687,Bowler,Furnace,Giant,Lightning,Little Prince,Tombstone,Vines,Zap
688,Balloon,Bomb Tower,Executioner,Giant Skeleton,Guards,Miner,Vines,Zap
689,Fireball,Giant,Guards,Inferno Dragon,Lumberjack,Mini P.E.K.K.A,Rage,Zap
690,Arrows,Barbarians,Hog Rider,Minion Horde,Minions,Royal Giant,Sparky,Zap
691,Arrows,Goblin Cage,Golem,Guards,Lightning,Mini P.E.K.K.A,Musketeer,Wizard
692,Arrows,Barbarian Barrel,Flying Machine,Musketeer,Royal Hogs,Royal Recruits,Skeleton Army,Tombstone
693,Archer Queen,Arrows,Bandit,Mega Knight,Minions,Prince,Wall Breakers,Zap
694,Goblin Giant,Knight,Mini P.E.K.K.A,Minions,Rage,Skeleton Army,Sparky,Zap
695,Cannon,Dark Prince,Ice Spirit,Miner,Rocket,Royal Delivery,Skeletons,The Log
696,Cannon,Goblinstein,Ice Spirit,Magic Archer,Miner,The Log,Tornado,Wall Breakers
697,Arrows,Balloon,Bats,Freeze,Giant Skeleton,Ice Wizard,Inferno Dragon,Skeleton Army
698,Archer Queen,Goblin Curse,Guards,Rage,Skeleton Army,Skeleton Barrel,Skeleton King,Suspicious Bush
699,Arrows,Balloon,Freeze,Giant,Minions,Musketeer,Skeleton Army,Tombstone
700,Arrows,Barbarians,Bats,Giant,Mini P.E.K.K.A,Minion Horde,Sparky,Zap
701,Archers,Arrows,Balloon,Bats,Freeze,Giant,Minions,Skeleton Army
702,Boss Bandit,Executioner,Giant Snowball,Goblin Demolisher,Guards,Mini P.E.K.K.A,Ram Rider,Vines
703,Goblin Demolisher,Goblin Drill,Knight,Magic Archer,Skeletons,Tesla,The Log,Tornado
704,Barbarian Barrel,Boss Bandit,Executioner,Furnace,Giant Snowball,Mini P.E.K.K.A,Ram Rider,Vines
705,Dart Goblin,Fire Spirit,Mini P.E.K.K.A,Princess,Skeleton Army,Skeleton Barrel,Skeleton King,Suspicious Bush
706,Arrows,Barbarian Barrel,Electro Spirit,Flying Machine,Goblin Cage,Musketeer,Royal Hogs,Royal Recruits
707,Fireball,Lava Hound,Minions,Skeleton Army,Spirit Empress,Tombstone,Valkyrie,Vines
708,Fireball,Giant,Knight,Mini P.E.K.K.A,Sparky,Tornado,Wizard,Zap
709,Arrows,Goblin Barrel,Goblin Gang,Golden Knight,Magic Archer,Musketeer,P.E.K.K.A,Rocket
710,Arrows,Battle Ram,Electro Wizard,Golden Knight,Mini P.E.K.K.A,Mother Witch,P.E.K.K.A,Royal Ghost
711,Arrows,Giant,Guards,Hunter,Inferno Dragon,Miner,Mini P.E.K.K.A,Zap
712,Electro Spirit,Fire Spirit,Knight,Rocket,Skeletons,Tesla,The Log,X-Bow
713,Archers,Fireball,Ice Spirit,Knight,Skeletons,Tesla,The Log,X-Bow
714,Balloon,Giant Skeleton,Hunter,Ice Golem,Miner,Minions,Vines,Zap
715,Bomber,Bowler,Giant,Giant Snowball,Graveyard,Minions,Musketeer,Vines
716,Bomber,Fire Spirit,Fireball,Giant Snowball,Goblin Drill,Knight,Skeletons,Tesla
717,Bomber,Fireball,Giant,Heal Spirit,Lumberjack,Mega Minion,Mini P.E.K.K.A,Rage
718,Executioner,Fire Spirit,Golden Knight,Graveyard,Inferno Dragon,Skeletons,Tornado,Vines
719,Knight,Mortar,Musketeer,Rocket,Royal Delivery,Skeleton Barrel,Skeletons,The Log
720,Berserker,Dart Goblin,Fire Spirit,Goblin Barrel,Ice Spirit,Skeleton Army,The Log,Wall Breakers
721,Ice Wizard,Mirror,Poison,Rocket,Skeletons,Tesla,The Log,Valkyrie
722,Barbarian Barrel,Flying Machine,Furnace,Goblin Hut,Mini P.E.K.K.A,Royal Recruits,Vines,Zap
723,Cannon Cart,Goblin Barrel,Goblin Gang,Knight,Prince,Rascals,Rocket,The Log
724,Arrows,Barbarians,Battle Healer,Electro Dragon,Elixir Golem,Fireball,Inferno Dragon,Rage
725,Barbarian Barrel,Golden Knight,Heal Spirit,Hunter,Ice Golem,Royal Ghost,Royal Hogs,Three Musketeers
726,Battle Ram,Electro Wizard,Fireball,Golden Knight,Magic Archer,Mini P.E.K.K.A,P.E.K.K.A,Zap
727,Balloon,Bomb Tower,Executioner,Guards,Miner,Monk,Tornado,Zap
728,Elixir Golem,Executioner,Goblin Curse,Lightning,Night Witch,Skeleton Army,Skeleton King,Vines
729,Arrows,Guards,Inferno Tower,Lightning,P.E.K.K.A,Ram Rider,Wizard,Zap
730,Balloon,Barbarian Barrel,Bats,Giant Snowball,Ice Golem,Lumberjack,Vines,Wizard
731,Golden Knight,Knight,Miner,Minion Horde,Mortar,Mother Witch,Skeleton Army,Vines
732,Barbarian Barrel,Fireball,Mini P.E.K.K.A,Minions,Mortar,Musketeer,Skeleton Barrel,Skeletons
733,Arrows,Elixir Golem,Night Witch,Rage,Skeleton Army,Skeleton King,Void,Wizard
734,Miner,Musketeer,Poison,Royal Ghost,Skeletons,Tesla,The Log,Wall Breakers
735,Arrows,Bowler,Giant,Giant Snowball,Graveyard,Mega Minion,Mini P.E.K.K.A,Witch
736,Giant,Mini P.E.K.K.A,Minions,Rage,Skeleton Army,Sparky,Vines,Wizard
737,Bandit,Fireball,Mega Knight,Mini P.E.K.K.A,Minions,Musketeer,Wall Breakers,Zap
738,Arrows,Barbarian Barrel,Cannon Cart,Flying Machine,Goblin Cage,Royal Hogs,Royal Recruits,Zappies
739,Arrows,Battle Ram,Cannon Cart,Golden Knight,Heal Spirit,Mini P.E.K.K.A,Musketeer,Royal Ghost
740,Arrows,Fireball,Guards,Mighty Miner,Minions,Royal Recruits,Skeleton Barrel,Wall Breakers
741,Electro Spirit,Firecracker,Guards,Hog Rider,Lightning,Tesla,The Log,Valkyrie
742,Arrows,Giant,Lumberjack,Mini P.E.K.K.A,Minions,Prince,Vines,Witch
743,Arrows,Battle Ram,Golden Knight,Heal Spirit,Lumberjack,Musketeer,P.E.K.K.A,Royal Ghost
744,Baby Dragon,Barbarian Barrel,Dark Prince,Goblin Cage,Golem,Ice Wizard,Lightning,Tornado
745,Bandit,Battle Ram,Fireball,Magic Archer,P.E.K.K.A,Royal Ghost,Three Musketeers,Zap
746,Arrows,Dark Prince,Giant,Heal Spirit,Mini P.E.K.K.A,Vines,Witch,Zap
747,Baby Dragon,Battle Healer,Electro Dragon,Elixir Collector,Elixir Golem,Heal Spirit,Mini P.E.K.K.A,Tornado
748,Bats,Dark Prince,Electro Wizard,Giant,Mini P.E.K.K.A,Rage,Sparky,Zap
749,Dart Goblin,Fireball,Knight,Minions,Mortar,Skeleton Barrel,Skeletons,The Log
750,Arrows,Giant,Graveyard,Mini P.E.K.K.A,Skeleton Army,Sparky,Wizard,Zappies
751,Barbarian Barrel,Goblin Cage,Graveyard,Ice Wizard,Knight,Poison,Skeletons,Witch
752,Berserker,Cannon,Dart Goblin,Goblin Barrel,Ice Spirit,Lava Hound,Valkyrie,Wall Breakers
753,Arrows,Electro Wizard,Executioner,Freeze,Knight,Mini P.E.K.K.A,P.E.K.K.A,Tornado
754,Dart Goblin,Ice Spirit,Lava Hound,Skeleton Army,Skeleton Barrel,Skeleton King,Suspicious Bush,Vines
755,Earthquake,Electro Spirit,Firecracker,Goblin Hut,Hog Rider,Knight,Skeletons,The Log
756,Goblin Drill,Ice Spirit,Knight,Magic Archer,Skeletons,Tesla,The Log,Tornado
757,Bomber,Electro Spirit,Knight,Rocket,Royal Delivery,Tesla,The Log,X-Bow
758,Elixir Collector,Giant,Mini P.E.K.K.A,Minions,Rage,Skeleton Army,Sparky,Zap
759,Barbarian Barrel,Bomber,Giant Snowball,Goblin Drill,Goblins,Ice Spirit,Knight,Rocket
760,Earthquake,Firecracker,Hog Rider,Ice Spirit,Skeletons,Tesla,The Log,Valkyrie
761,Electro Wizard,Hog Rider,Inferno Dragon,Mega Knight,Minions,Mother Witch,Poison,The Log
762,Arrows,Bomber,Clone,Golem,Mega Minion,Mini P.E.K.K.A,Night Witch,Skeleton Dragons
763,Hog Rider,Inferno Dragon,Mega Knight,Minions,Mother Witch,Musketeer,Poison,The Log
764,Arrows,Bandit,Battle Ram,Electro Wizard,Minions,P.E.K.K.A,Royal Ghost,Zap
765,Battle Ram,Golden Knight,Musketeer,Royal Recruits,Skeletons,Three Musketeers,Vines,Zap
766,Arrows,Baby Dragon,Inferno Dragon,Lava Hound,Miner,Minions,Skeleton Army,Vines
767,Barbarian Barrel,Knight,Minions,Mortar,Musketeer,Skeleton Barrel,Skeletons,Vines
768,Berserker,Cannon,Dart Goblin,Electro Spirit,Royal Delivery,Suspicious Bush,Vines,Wall Breakers
769,Arrows,Baby Dragon,Lava Hound,Miner,Minion Horde,Minions,Valkyrie,Vines
770,Berserker,Cannon,Furnace,Goblin Drill,Mighty Miner,Poison,Skeletons,The Log
771,Cannon,Electro Spirit,Hog Rider,Knight,Lightning,Musketeer,Skeletons,The Log
772,Archer Queen,Cannon,Fireball,Ice Spirit,Royal Delivery,Royal Hogs,Skeletons,The Log
773,Balloon,Fireball,Inferno Dragon,Knight,Lava Hound,Skeleton Dragons,Tombstone,Zap
774,Berserker,Cannon,Dart Goblin,Electro Spirit,Giant Snowball,Suspicious Bush,Vines,Wall Breakers
775,Dark Prince,Goblin Giant,Mini P.E.K.K.A,Minions,Musketeer,Sparky,Vines,Zap
